,Test_Time(s),Current(A),Voltage(V),Charge_Capacity(Ah),Discharge_Capacity(Ah),Charge_Energy(Wh),Discharge_Energy(Wh),dV/dt(V/s),Temperature (C)_1
1,8.002941854,-1.099372506,2.576187849,0.0,0.0015269939999999998,0.0,0.003963662,-0.004062653,36.89319992
2,13.00832051,-1.099372506,2.535869122,0.0,0.0030555179999999997,0.0,0.007871497,-0.004370451,36.95378494
3,18.01125852,-1.099184632,2.487240553,0.0,0.0045833,0.0,0.011709839,-0.00541687,37.02780151
4,23.0175965,-1.099372506,2.42260766,0.0,0.0061120919999999995,0.0,0.01546538,-0.0072019580000000005,36.92349243
5,28.01894309,-1.099372506,2.3118085859999997,0.0,0.007639365,0.0,0.019092721,-0.013972998,37.17582703
6,32.06204933,-1.099372506,1.998800635,0.0,0.008873987,0.0,0.021794571000000002,-0.049490333,36.99751282
31,157.07731130000002,1.0999414920000001,2.803634167,0.0015300620000000002,0.008873987,0.004219233,0.021794571000000002,0.008494616,37.36754608
32,162.0781948,1.0999414920000001,2.8614959719999997,0.003058093,0.008873987,0.00854987,0.021794571000000002,0.005663061,37.293552399999996
33,167.079444,1.100129366,2.906431198,0.004586237,0.008873987,0.012958266999999999,0.021794571000000002,0.004431963,37.26327133
34,172.08599750000002,1.0999414920000001,2.941517591,0.006116005999999999,0.008873987,0.017432007,0.021794571000000002,0.003508663,37.20270538
35,177.0869749,1.100129366,2.971679688,0.007644084000000001,0.008873987,0.021950616000000003,0.021794571000000002,0.0030162329999999997,37.276706700000005
36,182.0951619,1.0999414920000001,2.997840643,0.009174379,0.008873987,0.026518639,0.021794571000000002,0.002646875,37.09841156
37,187.09744619999998,1.100129366,3.021231413,0.010702841999999999,0.008873987,0.031118662000000002,0.021794571000000002,0.002400637,37.39442444
38,192.1038115,1.0999414920000001,3.0418524739999997,0.012232567,0.008873987,0.035756325,0.021794571000000002,0.002092886,37.33386993
39,197.1099178,1.0999414920000001,3.061242342,0.01376222,0.008873987,0.040424392,0.021794571000000002,0.0019697670000000003,37.22959137
40,202.1191845,1.0999414920000001,3.078785658,0.015292823,0.008873987,0.045123254,0.021794571000000002,0.001785135,37.12530136
