,Current(A),Voltage(V),dV/dt(V/s),Temperature (C)_1
17668,-0.000270769,3.4087138180000003,6.15597e-05,27.05506325
17669,-0.0004512230000000001,3.408406019,0.0,26.9497261
17670,-0.000270769,3.4087138180000003,0.0,27.05506325
17671,-0.000270769,3.4087138180000003,0.0,26.98030663
17672,-0.000270769,3.4087138180000003,6.15597e-05,26.9497261
17673,-0.0004512230000000001,3.408406019,-6.15597e-05,26.98030663
17674,-0.0004512230000000001,3.4087138180000003,0.0,26.99390793
17675,-0.0004512230000000001,3.4087138180000003,-6.15597e-05,27.05506325
17676,-0.0004512230000000001,3.4087138180000003,-6.15597e-05,27.05506325
17677,-0.000270769,3.409329414,6.15597e-05,27.05506325
17678,-0.0004512230000000001,3.4090216160000004,0.0,26.9497261
17679,-0.0004512230000000001,3.4090216160000004,-6.15597e-05,26.9497261
17680,-0.0004512230000000001,3.409329414,6.15597e-05,26.98030663
17681,-0.0004512230000000001,3.4090216160000004,0.0,27.05506325
17682,-0.0004512230000000001,3.409329414,6.15597e-05,26.98030663
17683,-1.013880253,3.212356091,-0.039394666,26.98030663
17684,-1.393374801,3.134490013,-0.05496788,26.98030663
17685,-1.768357992,3.0572397710000003,-0.07041792599999999,27.01088142
17686,-2.197477341,2.968601704,-0.048320007000000005,27.05506325
17687,-2.7577867510000003,2.853495359,-0.055829622,26.90554237
17688,-3.2202899460000003,2.756855488,-0.05964594,26.98030663
17689,-2.816253662,2.828873873,-0.027453136,27.05506325
17690,-2.7193501,2.843031168,-0.0014773370000000002,26.9497261
17691,-2.153627157,2.949212074,0.039209984,27.08563614
17692,-1.174123287,3.136952162,0.062046528,26.98030663
17693,0.263191909,3.415792465,0.114983127,27.05506325
17694,0.180183128,3.402866125,0.090915442,26.98030663
17695,0.072813056,3.384399891,0.049427985999999986,27.05506325
17696,-0.7159509059999999,3.232668877,-0.036994077,27.05506325
17697,-0.594866335,3.254828453,-0.029853772,26.83077621
17698,-0.599197209,3.253905058,-0.026160527000000003,27.01088142
17699,-0.8772766590000001,3.199737549,-0.006463194,26.98030663
17700,-2.0709791180000003,2.966139555,-0.05779933900000001,27.08563614
17701,0.268064171,3.41671586,0.032623719,27.01088142
17702,1.354216099,3.630308628,0.08629889800000001,27.01088142
